Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:km,Short name:en,Short name:km,Description:en,Description:fr,Data class,Data type,Answers,Members,_version:1,_order:1350
62518d14-e495-442c-810d-a1a784a4b0bd,,,Local Authority,អាជ្ញាធរមូលដ្ឋាន,Local Authority,អាជ្ញាធរមូលដ្ឋាន,,,Misc,N/A,,,,
9f3d41d0-1bcb-49bc-8022-f9c0295aa996,,,Health Centre,មណ្ឌលសុខភាព,HC,មណ្ឌលសុខភាព,,,Misc,N/A,,,,
7c53975f-be65-499d-b82c-abe01bcd6eca,,,Referral Hospital,មន្ទីរពេទ្យបង្អែក,RH,មន្ទីរពេទ្យបង្អែក,,,Misc,N/A,,,,
fda15e24-6474-4797-8b59-ce11d0df0bb9,,,Non Government Organization,អង្គការក្រៅរដ្ឋាភិបាល,NGO,អង្គការក្រៅរដ្ឋាភិបាល,,,Misc,N/A,,,,
459b0fe3-62a1-42e3-bc9f-d22f1b1506ce,,,Self presented,មកដោយខ្លួនឯង,Self presented,មកដោយខ្លួនឯង,,,Misc,N/A,,,,
6ee8979c-e559-443f-bf66-ee49cde114bd,,,VHSG (village health support group),ក្រុមទ្រទ្រង់សុខភាពភូមិ,VHSG (village health support group),ក្រុមទ្រទ្រង់សុខភាពភូមិ,,,Misc,N/A,,,,
92443a20-4141-41ae-9fc1-084772b83c52,,,Appointment,ការណាត់ជួប,Appointment,ការណាត់ជួប,,,Misc,N/A,,,,
2d5b1956-bb4b-40c8-8bac-947b9803eabe,,,Others,ផ្សេងៗ,Others,ផ្សេងៗ,,,Misc,Text,,,,
81572b50-3588-4e6b-9f5e-bbedbb522860,,,Specify,បញ្ជាក់,Specify,បញ្ជាក់,,,Misc,Text,,,,
fd588078-9286-46ea-b133-36aab1b025ec,,,Referred from,បញ្ជូន,Referred from,បញ្ជូន,,,Question,Coded,Local Authority;Health Centre;Referral Hospital;Non Government Organization;Self presented;VHSG (village health support group);Appointment;Others,,,
8a72a904-5931-4780-9d6c-603215fa5e51,,,Medium,មធ្យម,Medium,មធ្យម,,,Misc,N/A,,,,
